bought_id,product_name,buy_date,expiration_date,buy_price,buy_quantity,left_quantity,cost
1,Olive oil 1 ltr,21-10-2022,21-11-2023,3,8,4,24
2,Brown sugar 1 KG,15-11-2022,31-12-2025,4,15,15,60
3,Milk 1 ltr,20-10-2022,27-10-2022,1,10,10,10
4,Yoghurt 1 ltr,20-10-2022,06-11-2022,1,10,10,10
5,Olive oil 1 ltr,10-11-2022,31-12-2050,25,15,4,375
6,Whiskey 12jr 70cl,10-11-2022,31-12-2050,25,15,0,375
7,Olive oil 1 ltr,10-11-2022,31-12-2022,7,8,0,56
8,Whiskey 12jr 70cl,04-11-2022,31-12-2022,15,20,20,300
9,Olive oil 1 ltr,04-12-2022,25-12-2022,10,15,15,150.0
10,Olive oil 1 ltr,04-12-2022,31-05-2023,10,50,0,500.0
11,Zaanse mayonaise 750ml,04-12-2022,31-05-2023,10,50,0,500.0
