bought_id,product_name,buy_date,expiration_date,buy_price,buy_quantity,left_quantity,cost
1,cola,04-05-2023,21-10-2024,1.25,30,15,37.5
2,fanta,04-05-2023,21-10-2024,1.15,22,12,25.3
3,cassis,04-05-2023,21-10-2024,1.35,15,15,20.25
4,fanta,04-05-2023,31-03-2040,1.55,23,13,35.65
5,mayonaise,05-05-2023,21-07-2023,2.4,30,30,72.0
6,cola,05-05-2023,21-09-2023,2.4,30,30,72.0
7,cola,05-05-2023,21-11-2023,2.65,30,30,79.5
8,fanta,05-05-2023,21-11-2023,1.65,20,10,33.0
9,coffee 500gr,05-05-2023,21-11-2024,3.95,20,10,79.0
10,coffee 500gr,05-05-2023,21-12-2024,3.45,20,0,69.0
11,toast,19-06-2023,21-07-2024,1.25,10,2,12.5
12,toast,18-05-2023,21-09-2024,1.35,10,5,13.5
13,chocomel,14-05-2023,21-10-2024,1.55,5,5,7.75
14,La Chouffe,14-05-2023,21-10-2024,1.55,15,15,23.25
15,lemonade,14-05-2023,21-10-2024,0.75,10,10,7.5
16,chocotoff,14-05-2023,21-10-2024,3.75,10,10,37.5
