bought_id,product_name,buy_date,expiration_date,buy_price,buy_quantity,left_quantity,cost
1,cola,04-05-2023,21-10-2024,1.25,30,15,37.5
2,fanta,04-05-2023,21-10-2024,1.15,22,22,25.3
3,cassis,04-05-2023,21-10-2024,1.35,15,15,20.25
4,fanta,04-05-2023,31-03-2040,1.55,23,13,35.65
5,mayonaise,05-05-2023,21-07-2023,2.4,30,30,72.0
6,cola,05-05-2023,21-09-2023,2.4,30,30,72.0
7,cola,05-05-2023,21-11-2023,2.65,30,30,79.5
8,fanta,05-05-2023,21-11-2023,1.65,20,20,33.0
9,coffee 500gr,05-05-2023,21-11-2024,3.95,20,20,79.0
10,coffee 500gr,05-05-2023,21-12-2024,3.45,20,20,69.0
